height	year	sex	native	native2	home	vowel	F1	F2	F3	F4
70	3	0	1	NA	IL	EY2	459.3637463	2415.671425	3015.034558	3899.760342
70	3	0	1	NA	IL	OW1	596.7474557	1402.844429	2650.674177	3571.627707
70	3	0	1	NA	IL	OW2	441.8973167	934.5276703	2600.955838	3771.761131
70	3	0	1	NA	IL	OY1	506.413779	838.214727	2814.702927	3517.528024
70	3	0	1	NA	IL	OY2	547.697599	2121.751117	2667.631125	3835.549211
67	2	0	1	NA	MA	IY	295.875091	2707.74	3571.84	4265.28
67	2	0	1	NA	MA	UW	404.2582463	1437.22	2465.55	3890.09
67	2	0	1	NA	MA	IH	553.091989	1953.51	2719.02	4082.68
67	2	0	1	NA	MA	UH	603.745552	1259.05	2601.11	3744.06
67	2	0	1	NA	MA	EH	816.6937773	1673.57	2675.39	4133.3
67	2	0	1	NA	MA	AH	750.432105	1455.79	2536.27	3956.5
67	2	0	1	NA	MA	AXR	448.2817773	1581.34	1853.37	4223.6
67	2	0	1	NA	MA	AO	836.0792027	1205.11	2540.55	4033.71
67	2	0	1	NA	MA	AA	792.9098933	1207.49	2464.62	3785.3
67	2	0	1	NA	MA	AE	919.4880203	1438.41	2337.93	4277.14
67	2	0	1	NA	MA	AW1	851.3280817	1457.99	2457.02	4122.63
67	2	0	1	NA	MA	AW2	544.8582477	1127.05	2303.2	3688.39
67	2	0	1	NA	MA	AY1	845.759752	1389.57	2412.49	4075.42
67	2	0	1	NA	MA	AY2	504.8374703	1970.69	2639.41	4357.24
67	2	0	1	NA	MA	EY1	585.4220113	1984.78	2622.39	3685.93
67	2	0	1	NA	MA	EY2	443.833556	2468.5	2814.65	3999.31
67	2	0	1	NA	MA	OW1	555.679613	1293.17	2163.24	3250.89
67	2	0	1	NA	MA	OW2	497.9050287	1182.54	2251.35	3751.34
67	2	0	1	NA	MA	OY1	677.7712543	958.1188433	2206.86	3344.95
67	2	0	1	NA	MA	OY2	500.1317113	1915.29	2342	3688.56
64	2	0	1	Spanish	CA	IY	359.2314223	2169.536497	2577.121577	3520.506095
64	2	0	1	Spanish	CA	UW	438.509541	1269.626118	2554.472647	3645.944266
64	2	0	1	Spanish	CA	IH	510.5324837	1527.680025	2561.344668	3624.861165
64	2	0	1	Spanish	CA	UH	458.0978877	1196.248044	2560.979598	3604.026984
64	2	0	1	Spanish	CA	EH	604.3064833	1446.125884	2511.527835	3710.307413
64	2	0	1	Spanish	CA	AH	544.7817773	1175.075423	2646.938084	3664.302101
64	2	0	1	Spanish	CA	AXR	526.0226337	1210.203156	1948.751118	3606.210654
64	2	0	1	Spanish	CA	AO	583.4993127	1054.474631	2579.54802	3406.484937
64	2	0	1	Spanish	CA	AA	537.1115367	1169.928361	2560.059988	3671.753716
64	2	0	1	Spanish	CA	AE	675.313484	1432.455925	2466.115739	3679.87054
64	2	0	1	Spanish	CA	AW1	643.9138763	1364.635526	2444.066459	3724.96877
64	2	0	1	Spanish	CA	AW2	653.5720567	1208.720512	2531.331107	3623.355438
64	2	0	1	Spanish	CA	AY1	585.3158307	1237.566205	2573.209528	3452.733266
64	2	0	1	Spanish	CA	AY2	682.6721723	1487.89098	2590.315744	3771.176343
64	2	0	1	Spanish	CA	EY1	556.2323127	1582.571099	2508.489193	3715.444157
64	2	0	1	Spanish	CA	EY2	551.214361	1912.884475	2663.278397	4178.148315
64	2	0	1	Spanish	CA	OW1	530.3479207	1369.822696	2507.58787	3750.290751
64	2	0	1	Spanish	CA	OW2	439.619377	1169.347869	2447.108543	3622.13836
64	2	0	1	Spanish	CA	OY1	483.8937227	889.3661037	2635.620848	3540.569004
64	2	0	1	Spanish	CA	OY2	494.1830057	1364.409594	2317.744429	3621.87601
68	3	1	1	NA	WA	IY	293.8723857	2347.006341	3109.499231	3912.91697
68	3	1	1	NA	WA	UW	367.3861273	1291.211732	2354.449494	3713.988238
68	3	1	1	NA	WA	IH	498.8067953	1832.559872	2767.902518	4135.915899
68	3	1	1	NA	WA	UH	531.044431	1099.725009	2582.951151	3427.958
68	3	1	1	NA	WA	EH	653.768338	1724.892706	2673.022947	3873.182844
68	3	1	1	NA	WA	AH	675.0762927	1334.609496	2619.605769	3714.525268
68	3	1	1	NA	WA	AXR	456.6298087	1525.526863	1650.169226	3974.003648
68	3	1	1	NA	WA	AO	719.3981923	1168.706266	2615.868874	3890.267791
68	3	1	1	NA	WA	AA	704.445818	1095.293187	2595.575857	3860.714169
68	3	1	1	NA	WA	AE	767.9426133	1616.288134	2279.156984	4104.197826
68	3	1	1	NA	WA	AW1	708.211473	1533.089228	2455.804349	3792.301563
68	3	1	1	NA	WA	AW2	617.355123	1144.73933	2386.848802	3631.551419
68	3	1	1	NA	WA	AY1	767.064431	1292.237766	2604.279705	3723.52514
68	3	1	1	NA	WA	AY2	637.4729047	1813.053762	2493.437837	3605.771413
68	3	1	1	NA	WA	EY1	542.9297617	1893.196496	2547.807853	3992.607094
68	3	1	1	NA	WA	EY2	492.8407203	2055.805936	2558.307026	3764.601233
68	3	1	1	NA	WA	OW1	555.861783	1295.194875	2462.727612	3680.904701
68	3	1	1	NA	WA	OW2	566.0368757	1544.032394	3039.37874	4074.184652
68	3	1	1	NA	WA	OY1	577.4085497	2128.215241	3084.330252	4095.815036
68	3	1	1	NA	WA	OY2	558.4403183	1855.601067	2454.181872	3671.559012
65	3	0	1	NA	MI	IY	335.7873333	2251.546667	3072.805667	3937.638333
65	3	0	1	NA	MI	UW	461.149	1582.955667	2479.731	3945.396667
65	3	0	1	NA	MI	IH	555.8703333	1944.219	2861.422	3937.295333
65	3	0	1	NA	MI	UH	453.0013333	1332.912333	2622.317333	3789.19
65	3	0	1	NA	MI	EH	685.334	1882.916333	2408.759667	3685.605333
65	3	0	1	NA	MI	AH	720.433	1658.157	2652.855667	4002.696
65	3	0	1	NA	MI	AXR	413.055	1604.01	2055.422	3788.41
65	3	0	1	NA	MI	AO	888.069	1313.483667	2471.447667	3760.732333
65	3	0	1	NA	MI	AA	940.9019667	1445.1392	2411.571333	3726.255333
65	3	0	1	NA	MI	AE	835.922	1711.275967	2506.265667	3744.437333
65	3	0	1	NA	MI	AW1	839.9863333	1576.2574	2584.039333	3818.36
65	3	0	1	NA	MI	AW2	529.5403333	1292.863267	2694.366333	3992.477333
65	3	0	1	NA	MI	AY1	814.725	1460.796333	2664.672333	3689.731333
65	3	0	1	NA	MI	AY2	338.0766667	1975.059667	2673.386333	3870.869333
65	3	0	1	NA	MI	EY1	428.0116667	2530.125	2643.861	3525.062
65	3	0	1	NA	MI	EY2	293.847	2381.067333	2856.626333	3747.035667
65	3	0	1	NA	MI	OW1	462.9423333	1406.620667	2694.459333	3881.526667
65	3	0	1	NA	MI	OW2	454.928	1544.413	2743.111167	4249.68
65	3	0	1	NA	MI	OY1	505.449	1397.036667	2281.779667	3231.411
65	3	0	1	NA	MI	OY2	444.222	1866.881	2797.484667	4059.920667
70	2	0	1	NA	GA	IY	312.2949287	2677.729042	3018.381895	3627.0298
70	2	0	1	NA	GA	UW	387.1707763	1563.217322	2914.590027	3641.554019
70	2	0	1	NA	GA	IH	522.3507613	1878.485175	2969.262062	3829.799449
70	2	0	1	NA	GA	UH	546.7271977	1304.497696	3036.796443	3702.375579
70	2	0	1	NA	GA	EH	601.4191487	1703.301294	2920.59538	3434.341496
70	2	0	1	NA	GA	AH	577.235088	1327.611264	2899.041585	3704.987346
70	2	0	1	NA	GA	AXR	516.9605417	1502.868938	2237.728781	3348.739374
